probability,channel,purity,fidelity,trace
0,depolarizing,1.000000000000,1.000000000000,1.000000000000
0.01,depolarizing,0.980133333333,0.990000000000,1.000000000000
0.05,depolarizing,0.903333333333,0.950000000000,1.000000000000
0.1,depolarizing,0.813333333333,0.900000000000,1.000000000000
0.2,depolarizing,0.653333333333,0.800000000000,1.000000000000
0.5,depolarizing,0.333333333333,0.500000000000,1.000000000000
1,depolarizing,0.333333333333,0.000000000000,1.000000000000
0,amplitude_damping,1.000000000000,1.000000000000,1.000000000000
0.01,amplitude_damping,0.980200000000,0.990000000000,1.000000000000
0.05,amplitude_damping,0.905000000000,0.950000000000,1.000000000000
0.1,amplitude_damping,0.820000000000,0.900000000000,1.000000000000
0.2,amplitude_damping,0.680000000000,0.800000000000,1.000000000000
0.5,amplitude_damping,0.500000000000,0.500000000000,1.000000000000
1,amplitude_damping,1.000000000000,0.000000000000,1.000000000000
